,0,1
0,0.98,0.02
1,0.99,0.01
2,1.0,0.0
3,1.0,0.0
4,0.99,0.01
5,0.95,0.05
6,1.0,0.0
7,0.99,0.01
8,0.0,1.0
9,0.0,1.0
10,0.93,0.07
11,0.99,0.01
12,1.0,0.0
13,1.0,0.0
14,0.99,0.01
15,1.0,0.0
16,1.0,0.0
17,1.0,0.0
18,0.99,0.01
19,1.0,0.0
20,0.86,0.14
21,1.0,0.0
22,0.99,0.01
23,0.75,0.25
24,1.0,0.0
25,0.97,0.03
26,1.0,0.0
27,0.99,0.01
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,0.96,0.04
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
40,1.0,0.0
41,0.99,0.01
42,1.0,0.0
43,1.0,0.0
44,0.97,0.03
45,0.99,0.01
46,1.0,0.0
47,1.0,0.0
48,1.0,0.0
49,1.0,0.0
50,1.0,0.0
51,0.0,1.0
52,1.0,0.0
53,1.0,0.0
54,1.0,0.0
55,0.98,0.02
56,1.0,0.0
57,1.0,0.0
58,0.96,0.04
59,0.92,0.08
60,0.97,0.03
61,0.0,1.0
62,0.97,0.03
63,1.0,0.0
64,1.0,0.0
65,1.0,0.0
66,0.98,0.02
67,1.0,0.0
68,0.99,0.01
69,1.0,0.0
70,1.0,0.0
71,1.0,0.0
72,1.0,0.0
73,1.0,0.0
74,1.0,0.0
75,1.0,0.0
76,1.0,0.0
77,1.0,0.0
78,1.0,0.0
79,0.99,0.01
80,0.0,1.0
81,1.0,0.0
82,0.99,0.01
83,0.96,0.04
84,1.0,0.0
85,0.99,0.01
86,1.0,0.0
87,1.0,0.0
88,1.0,0.0
89,0.93,0.07
90,0.97,0.03
91,1.0,0.0
92,0.0,1.0
93,0.99,0.01
94,1.0,0.0
95,1.0,0.0
96,0.94,0.06
97,0.0,1.0
98,1.0,0.0
99,1.0,0.0
100,1.0,0.0
101,0.0,1.0
102,1.0,0.0
103,1.0,0.0
104,0.99,0.01
105,1.0,0.0
106,0.92,0.08
107,0.0,1.0
108,1.0,0.0
109,0.99,0.01
110,0.99,0.01
111,1.0,0.0
112,0.98,0.02
113,1.0,0.0
114,1.0,0.0
115,0.99,0.01
116,0.99,0.01
117,1.0,0.0
118,1.0,0.0
119,0.99,0.01
120,0.97,0.03
121,1.0,0.0
122,1.0,0.0
123,1.0,0.0
124,0.99,0.01
125,0.84,0.16
126,0.99,0.01
127,1.0,0.0
128,0.88,0.12
129,1.0,0.0
130,1.0,0.0
131,1.0,0.0
132,1.0,0.0
133,0.99,0.01
134,1.0,0.0
135,1.0,0.0
136,0.0,1.0
137,1.0,0.0
138,1.0,0.0
139,1.0,0.0
140,1.0,0.0
141,0.94,0.06
142,1.0,0.0
143,1.0,0.0
144,1.0,0.0
145,1.0,0.0
146,0.96,0.04
147,0.99,0.01
148,1.0,0.0
149,1.0,0.0
150,0.99,0.01
151,1.0,0.0
152,0.99,0.01
153,1.0,0.0
154,0.79,0.21
155,1.0,0.0
156,0.99,0.01
157,0.97,0.03
158,1.0,0.0
159,1.0,0.0
160,0.99,0.01
161,1.0,0.0
162,0.0,1.0
163,1.0,0.0
164,1.0,0.0
165,1.0,0.0
166,1.0,0.0
167,1.0,0.0
168,1.0,0.0
169,0.97,0.03
170,1.0,0.0
171,1.0,0.0
172,1.0,0.0
173,1.0,0.0
174,1.0,0.0
175,1.0,0.0
176,1.0,0.0
177,0.96,0.04
178,0.0,1.0
179,1.0,0.0
180,1.0,0.0
181,1.0,0.0
182,0.99,0.01
183,1.0,0.0
184,0.98,0.02
185,1.0,0.0
186,0.0,1.0
187,0.0,1.0
188,1.0,0.0
189,0.96,0.04
190,1.0,0.0
191,0.99,0.01
192,1.0,0.0
193,0.0,1.0
194,1.0,0.0
195,0.0,1.0
196,1.0,0.0
197,1.0,0.0
198,1.0,0.0
199,1.0,0.0
200,1.0,0.0
201,0.98,0.02
202,0.99,0.01
203,1.0,0.0
204,0.99,0.01
205,0.98,0.02
206,1.0,0.0
207,1.0,0.0
208,0.98,0.02
209,0.97,0.03
210,1.0,0.0
211,1.0,0.0
212,0.69,0.31
213,1.0,0.0
214,0.99,0.01
215,0.96,0.04
216,1.0,0.0
217,1.0,0.0
218,1.0,0.0
219,0.99,0.01
220,1.0,0.0
221,1.0,0.0
222,1.0,0.0
223,0.98,0.02
224,1.0,0.0
225,0.89,0.11
226,1.0,0.0
227,1.0,0.0
228,0.97,0.03
229,1.0,0.0
230,0.98,0.02
231,1.0,0.0
232,0.0,1.0
233,1.0,0.0
234,0.0,1.0
235,0.99,0.01
236,1.0,0.0
237,1.0,0.0
238,1.0,0.0
239,0.97,0.03
240,1.0,0.0
241,1.0,0.0
242,1.0,0.0
243,1.0,0.0
244,1.0,0.0
245,0.98,0.02
246,1.0,0.0
247,0.93,0.07
248,1.0,0.0
249,0.89,0.11
250,0.99,0.01
251,1.0,0.0
252,1.0,0.0
253,0.97,0.03
254,0.98,0.02
255,0.84,0.16
256,1.0,0.0
257,1.0,0.0
258,1.0,0.0
259,0.0,1.0
260,1.0,0.0
261,1.0,0.0
262,0.0,1.0
263,1.0,0.0
264,0.0,1.0
265,1.0,0.0
266,0.99,0.01
267,1.0,0.0
268,0.0,1.0
269,0.87,0.13
270,1.0,0.0
271,1.0,0.0
272,1.0,0.0
273,0.97,0.03
274,1.0,0.0
275,1.0,0.0
276,1.0,0.0
277,1.0,0.0
278,0.99,0.01
279,0.98,0.02
280,1.0,0.0
281,0.98,0.02
282,0.0,1.0
283,1.0,0.0
284,0.99,0.01
285,0.67,0.33
286,1.0,0.0
287,1.0,0.0
288,1.0,0.0
289,0.99,0.01
290,1.0,0.0
291,0.96,0.04
292,1.0,0.0
293,0.0,1.0
294,1.0,0.0
295,1.0,0.0
296,1.0,0.0
297,0.99,0.01
298,1.0,0.0
299,1.0,0.0
300,1.0,0.0
301,1.0,0.0
302,0.76,0.24
303,1.0,0.0
304,1.0,0.0
305,0.96,0.04
306,0.99,0.01
307,0.0,1.0
308,0.99,0.01
309,0.96,0.04
310,1.0,0.0
311,1.0,0.0
312,1.0,0.0
313,1.0,0.0
314,0.99,0.01
315,1.0,0.0
316,1.0,0.0
317,0.99,0.01
318,1.0,0.0
319,0.98,0.02
320,1.0,0.0
321,0.0,1.0
322,0.0,1.0
323,1.0,0.0
324,1.0,0.0
325,1.0,0.0
326,1.0,0.0
327,1.0,0.0
328,1.0,0.0
329,1.0,0.0
330,0.99,0.01
331,1.0,0.0
332,0.99,0.01
333,1.0,0.0
334,0.99,0.01
335,1.0,0.0
336,1.0,0.0
337,1.0,0.0
338,1.0,0.0
339,1.0,0.0
340,1.0,0.0
341,1.0,0.0
342,0.98,0.02
343,1.0,0.0
344,0.99,0.01
345,0.99,0.01
346,1.0,0.0
347,1.0,0.0
348,0.99,0.01
349,1.0,0.0
350,1.0,0.0
351,1.0,0.0
352,0.99,0.01
353,1.0,0.0
354,1.0,0.0
355,1.0,0.0
356,1.0,0.0
357,0.99,0.01
358,0.98,0.02
359,0.99,0.01
360,0.98,0.02
361,1.0,0.0
362,1.0,0.0
363,0.0,1.0
364,1.0,0.0
365,1.0,0.0
366,0.99,0.01
367,0.98,0.02
368,1.0,0.0
369,0.0,1.0
370,1.0,0.0
371,0.98,0.02
372,1.0,0.0
373,0.98,0.02
374,0.94,0.06
375,1.0,0.0
376,1.0,0.0
377,1.0,0.0
378,0.98,0.02
379,0.94,0.06
380,0.0,1.0
381,1.0,0.0
382,0.99,0.01
383,0.95,0.05
384,1.0,0.0
385,1.0,0.0
386,1.0,0.0
387,0.0,1.0
388,1.0,0.0
389,1.0,0.0
390,1.0,0.0
391,1.0,0.0
392,1.0,0.0
393,1.0,0.0
394,1.0,0.0
395,1.0,0.0
396,1.0,0.0
397,1.0,0.0
398,0.98,0.02
399,0.97,0.03
400,1.0,0.0
401,0.97,0.03
402,0.93,0.07
403,0.83,0.17
404,0.99,0.01
405,0.93,0.07
406,0.9,0.1
407,0.91,0.09
408,0.98,0.02
409,1.0,0.0
410,0.98,0.02
411,1.0,0.0
412,1.0,0.0
413,1.0,0.0
414,1.0,0.0
415,1.0,0.0
416,1.0,0.0
417,1.0,0.0
418,1.0,0.0
419,1.0,0.0
420,1.0,0.0
421,0.97,0.03
422,1.0,0.0
423,0.97,0.03
424,1.0,0.0
425,0.96,0.04
426,1.0,0.0
427,1.0,0.0
428,0.99,0.01
429,0.98,0.02
430,1.0,0.0
431,0.99,0.01
432,1.0,0.0
433,1.0,0.0
434,0.93,0.07
435,1.0,0.0
436,1.0,0.0
437,0.0,1.0
438,1.0,0.0
439,1.0,0.0
440,1.0,0.0
441,1.0,0.0
442,0.99,0.01
443,0.99,0.01
444,1.0,0.0
445,1.0,0.0
446,1.0,0.0
447,1.0,0.0
448,0.99,0.01
449,1.0,0.0
450,1.0,0.0
451,1.0,0.0
452,1.0,0.0
453,1.0,0.0
454,1.0,0.0
455,0.0,1.0
456,1.0,0.0
457,1.0,0.0
458,0.99,0.01
459,1.0,0.0
460,1.0,0.0
461,1.0,0.0
462,1.0,0.0
463,1.0,0.0
464,1.0,0.0
465,0.99,0.01
466,1.0,0.0
467,1.0,0.0
468,1.0,0.0
469,1.0,0.0
470,1.0,0.0
471,0.98,0.02
472,1.0,0.0
473,1.0,0.0
474,0.99,0.01
475,1.0,0.0
476,1.0,0.0
477,1.0,0.0
478,1.0,0.0
479,0.99,0.01
480,0.0,1.0
481,0.0,1.0
482,1.0,0.0
483,0.99,0.01
484,1.0,0.0
485,0.98,0.02
486,1.0,0.0
487,1.0,0.0
488,1.0,0.0
489,0.97,0.03
490,1.0,0.0
491,1.0,0.0
492,1.0,0.0
493,0.99,0.01
494,0.0,1.0
495,1.0,0.0
496,1.0,0.0
497,1.0,0.0
498,1.0,0.0
499,0.99,0.01
500,1.0,0.0
501,1.0,0.0
502,1.0,0.0
503,1.0,0.0
504,1.0,0.0
505,1.0,0.0
506,1.0,0.0
507,1.0,0.0
508,1.0,0.0
509,0.97,0.03
510,1.0,0.0
511,1.0,0.0
512,0.99,0.01
513,1.0,0.0
514,1.0,0.0
515,1.0,0.0
516,1.0,0.0
517,1.0,0.0
518,1.0,0.0
519,1.0,0.0
520,0.99,0.01
521,1.0,0.0
522,1.0,0.0
523,1.0,0.0
524,1.0,0.0
525,0.75,0.25
526,1.0,0.0
527,1.0,0.0
528,0.99,0.01
529,1.0,0.0
530,1.0,0.0
531,1.0,0.0
532,0.0,1.0
533,1.0,0.0
534,1.0,0.0
535,1.0,0.0
536,0.99,0.01
537,1.0,0.0
538,0.99,0.01
539,1.0,0.0
540,1.0,0.0
541,1.0,0.0
542,1.0,0.0
543,1.0,0.0
544,0.0,1.0
545,0.96,0.04
546,1.0,0.0
547,0.0,1.0
548,1.0,0.0
549,1.0,0.0
550,0.0,1.0
551,0.98,0.02
552,1.0,0.0
553,1.0,0.0
554,1.0,0.0
555,1.0,0.0
556,1.0,0.0
557,1.0,0.0
558,1.0,0.0
559,1.0,0.0
560,1.0,0.0
561,1.0,0.0
562,0.81,0.19
563,1.0,0.0
564,0.99,0.01
565,1.0,0.0
566,1.0,0.0
567,1.0,0.0
568,1.0,0.0
569,0.99,0.01
570,0.94,0.06
571,0.0,1.0
572,1.0,0.0
573,1.0,0.0
574,1.0,0.0
575,1.0,0.0
576,1.0,0.0
577,1.0,0.0
578,1.0,0.0
579,0.98,0.02
580,1.0,0.0
581,1.0,0.0
582,1.0,0.0
583,1.0,0.0
584,0.0,1.0
585,1.0,0.0
586,1.0,0.0
587,1.0,0.0
588,1.0,0.0
589,0.0,1.0
590,0.99,0.01
591,0.93,0.07
592,1.0,0.0
593,0.99,0.01
594,1.0,0.0
595,0.0,1.0
596,1.0,0.0
597,0.94,0.06
598,1.0,0.0
599,0.98,0.02
600,0.99,0.01
601,1.0,0.0
602,1.0,0.0
603,0.96,0.04
604,1.0,0.0
605,1.0,0.0
606,1.0,0.0
607,1.0,0.0
608,1.0,0.0
609,0.99,0.01
610,1.0,0.0
611,0.97,0.03
612,1.0,0.0
613,0.99,0.01
614,1.0,0.0
615,0.0,1.0
616,0.9,0.1
617,1.0,0.0
618,0.98,0.02
619,1.0,0.0
620,1.0,0.0
621,0.98,0.02
622,0.93,0.07
623,0.95,0.05
624,1.0,0.0
625,1.0,0.0
626,1.0,0.0
627,1.0,0.0
628,1.0,0.0
629,1.0,0.0
630,0.98,0.02
631,1.0,0.0
632,1.0,0.0
633,1.0,0.0
634,1.0,0.0
635,0.99,0.01
636,1.0,0.0
637,1.0,0.0
638,1.0,0.0
639,1.0,0.0
640,1.0,0.0
641,1.0,0.0
642,1.0,0.0
643,0.0,1.0
